0.8837209302325582
class4,p
nonevent,0.0844493573546099
II,0.9052809396219036
nonevent,0.10048965882280136
Ib,0.9937342600061111
nonevent,0.4660544186789799
Ib,0.9705886284073661
II,0.8357140488181644
nonevent,0.3771014083046438
Ib,0.8657959523124552
II,0.9366222290454967
II,0.9149525758717204
II,0.9773672725600351
Ib,0.9671432862449295
II,0.8206713031836687
II,0.9919678276738101
Ib,0.9899841958576036
II,0.8789460055749196
nonevent,0.0023911396553968345
nonevent,0.029977435684895415
II,0.88390968856979
II,0.9637316404202976
II,0.9725486971779639
II,0.8992984983093246
II,0.9332456765534168
Ib,0.9143521572098949
Ib,0.9976306587140782
nonevent,0.37841016713035025
nonevent,0.236526355226387
II,0.7205264938551899
nonevent,0.24010103871399213
II,0.9167024348109338
II,0.812704011788397
nonevent,0.005221051060042781
II,0.9788624399594675
nonevent,0.04585161871195187
nonevent,0.07421725931424061
nonevent,0.3133715862615083
Ib,0.9151844632826556
nonevent,0.11201769850014864
nonevent,0.5628708310125043
nonevent,0.14714847015811505
nonevent,0.27993945283508803
nonevent,0.12860885246536324
nonevent,0.01652369635350448
nonevent,0.12813371942568075
nonevent,0.2018997418505113
nonevent,0.4767140350911858
II,0.985290762052369
Ib,0.976734589660074
II,0.9467638394193183
nonevent,0.00989670615392746
nonevent,0.003955920349930198
nonevent,0.03983023308442035
nonevent,0.06173975788343988
II,0.6116305473454284
nonevent,0.01842452836406505
II,0.8187996399178796
nonevent,0.11565131106087645
nonevent,0.09457729957446315
nonevent,0.5074048139885226
II,0.8834982124367999
nonevent,0.22734191086970656
nonevent,0.5195110185337
nonevent,0.032445067406391415
nonevent,0.06155505736605715
Ib,0.722958854966379
II,0.8077230760033078
II,0.8036456741154482
II,0.8341797875434894
nonevent,0.005539637376231532
Ib,0.969292113832186
nonevent,0.2977378896015328
nonevent,0.26926413263839055
nonevent,0.6275873987022675
nonevent,0.028181720724099413
nonevent,0.36256515894177266
nonevent,0.10935337818410462
Ia,0.3454824206457845
nonevent,0.01681154062476764
Ib,0.9865954452876823
II,0.7874957188870029
nonevent,0.13996615938111523
nonevent,0.4952912761883429
Ib,0.9865072779025964
II,0.9560752169885183
II,0.9683581708778586
Ib,0.9939056553854203
II,0.9710630365624401
Ib,0.9003261298939577
nonevent,0.017339275743625593
nonevent,0.4245573098732218
nonevent,0.015354855600838824
II,0.8726767553434247
nonevent,0.07231287858381008
nonevent,0.0008018331875147
Ib,0.9844333561203668
nonevent,0.04748747957203814
nonevent,0.19560300514066187
nonevent,0.05592785317051996
II,0.8501664539458818
nonevent,0.06096608516793656
nonevent,0.006483462275788665
nonevent,0.01860822153122721
II,0.9173182009771189
II,0.5038793373956885
Ib,0.9949016174591392
Ia,0.9917228908940968
II,0.9424156413743429
nonevent,0.0875606334152389
II,0.9276536326315884
Ib,0.9906939539105168
Ib,0.9485515148589516
II,0.9026082166810592
Ib,0.9642622712169525
Ib,0.9901757503342573
nonevent,0.017134692665235374
nonevent,0.08844771696690035
II,0.9651926522886891
II,0.7593240870231538
nonevent,0.16828075639110485
II,0.9709589644425014
Ia,0.9828492540445546
II,0.8962128273976391
II,0.8696977765317853
nonevent,0.003544712598872124
nonevent,0.21175543197837887
nonevent,0.0461284175639427
II,0.6809746727554312
nonevent,0.07505405360143946
Ib,0.9907617080347048
nonevent,0.0418053396542053
Ib,0.9725019980192575
nonevent,0.15646511664520724
nonevent,0.0606612176168666
nonevent,0.048573238424914456
nonevent,0.18865102864910654
nonevent,0.0593330490969175
II,0.9213560304796871
II,0.9813122914242993
II,0.9555996496480134
